item_name,item_category,primary_stat,stat_label,type,debutDate,minecraftVersion
book,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
bowl,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
brewer_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
brick,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
brown_dye,Ingredient,,,Ingredient,2019-04-23T00:00:00,1.14.0
burn_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
charcoal,Ingredient,,,Ingredient,2012-02-29T00:00:00,1.2.0
clay_ball,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
coal,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
coast_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
cocoa_beans,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
copper_ingot,Ingredient,,,Ingredient,2021-06-08T00:00:00,1.17.0
creeper_banner_pattern,Ingredient,,,Ingredient,2019-04-23T00:00:00,1.14.0
cyan_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
danger_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
diamond,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
disc_fragment,Ingredient,,,Ingredient,2022-06-07T00:00:00,1.19.0
dragon_breath,Ingredient,,,Ingredient,2016-02-29T00:00:00,1.9.0
dune_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
echo_shard,Ingredient,,,Ingredient,2022-06-07T00:00:00,1.19.0
egg,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
emerald,Ingredient,,,Ingredient,2012-08-01T00:00:00,1.3.1
enchanted_book,Ingredient,,,Ingredient,2012-12-20T00:00:00,1.4.6
ender_eye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
ender_pearl,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
experience_bottle,Ingredient,,,Ingredient,2012-03-01T00:00:00,1.2.1
explorer_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
eye_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
feather,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
fermented_spider_eye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
fire_charge,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
firework_star,Ingredient,,,Ingredient,2012-12-20T00:00:00,1.4.6
flint,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
flower_banner_pattern,Ingredient,,,Ingredient,2019-04-23T00:00:00,1.14.0
friend_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
ghast_tear,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
glass_bottle,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
glistering_melon_slice,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
globe_banner_pattern,Ingredient,,,Ingredient,2019-04-23T00:00:00,1.14.0
glow_ink_sac,Ingredient,,,Ingredient,2021-06-08T00:00:00,1.17.0
glowstone_dust,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
gold_ingot,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
gold_nugget,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
gray_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
green_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
gunpowder,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
heart_of_the_sea,Ingredient,,,Ingredient,2018-07-18T00:00:00,1.13.0
heart_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
heartbreak_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
honeycomb,Ingredient,,,Ingredient,2019-12-10T00:00:00,1.15.0
host_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
howl_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
ink_sac,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
iron_ingot,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
iron_nugget,Ingredient,,,Ingredient,2016-12-20T00:00:00,1.11.1
lapis_lazuli,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
leather,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
light_blue_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
light_gray_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
lime_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
lingering_potion,Ingredient,,,Ingredient,2016-02-29T00:00:00,1.9.0
magenta_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
magma_cream,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
miner_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
mojang_banner_pattern,Ingredient,,,Ingredient,2019-04-23T00:00:00,1.14.0
mourner_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
nautilus_shell,Ingredient,,,Ingredient,2018-07-18T00:00:00,1.13.0
nether_brick,Ingredient,,,Ingredient,2019-12-10T00:00:00,1.15.0
nether_star,Ingredient,,,Ingredient,2012-10-25T00:00:00,1.4.2
netherite_ingot,Ingredient,,,Ingredient,2020-06-23T00:00:00,1.16.0
netherite_scrap,Ingredient,,,Ingredient,2020-06-23T00:00:00,1.16.0
netherite_upgrade_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
orange_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
paper,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
phantom_membrane,Ingredient,,,Ingredient,2018-07-18T00:00:00,1.13.0
piglin_banner_pattern,Ingredient,,,Ingredient,2020-06-23T00:00:00,1.16.0
pink_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
plenty_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
popped_chorus_fruit,Ingredient,,,Ingredient,2016-02-29T00:00:00,1.9.0
potion,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
prismarine_crystals,Ingredient,,,Ingredient,2014-09-02T00:00:00,1.8.0
prismarine_shard,Ingredient,,,Ingredient,2014-09-02T00:00:00,1.8.0
prize_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
pufferfish,Ingredient,,,Ingredient,2013-10-25T00:00:00,1.7.2
purple_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
quartz,Ingredient,,,Ingredient,2013-03-13T00:00:00,1.5.0
rabbit_foot,Ingredient,,,Ingredient,2014-09-02T00:00:00,1.8.0
rabbit_hide,Ingredient,,,Ingredient,2014-09-02T00:00:00,1.8.0
raiser_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
raw_copper,Ingredient,,,Ingredient,2021-06-08T00:00:00,1.17.0
raw_gold,Ingredient,,,Ingredient,2021-06-08T00:00:00,1.17.0
raw_iron,Ingredient,,,Ingredient,2018-07-18T00:00:00,1.17.0
red_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
redstone,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
rib_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
scute,Ingredient,,,Ingredient,2018-07-18T00:00:00,1.13.0
sentry_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
shaper_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
sheaf_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
shelter_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
shulker_shell,Ingredient,,,Ingredient,2016-11-14T00:00:00,1.11.0
silence_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
skull_banner_pattern,Ingredient,,,Ingredient,2019-04-23T00:00:00,1.14.0
skull_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
slime_ball,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
snort_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
snout_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
snowball,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
spider_eye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
spire_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
splash_potion,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
stick,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
string,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
sugar,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
tide_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
vex_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
ward_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
wayfinder_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
wheat,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
white_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
wild_armor_trim_smithing_template,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
yellow_dye,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
arrow,Tools & Armor,,Durability,Weapon,2011-11-18T00:00:00,1.0.0
axolotl_bucket,Tools & Armor,,Durability,Tool,2018-07-18T00:00:00,1.13.0
bow,Tools & Armor,384.0,Durability,Weapon,2011-11-18T00:00:00,1.0.0
brush,Tools & Armor,64.0,Durability,Tool,2023-06-07T00:00:00,1.20.0
bucket,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
bundle,Tools & Armor,,Durability,Tool,2021-06-08T00:00:00,1.17.0
carrot_on_a_stick,Tools & Armor,25.0,Durability,Tool,2012-10-25T00:00:00,1.4.2
chainmail_boots,Tools & Armor,195.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
chainmail_chestplate,Tools & Armor,240.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
chainmail_helmet,Tools & Armor,165.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
chainmail_leggings,Tools & Armor,225.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
clock,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
cod_bucket,Tools & Armor,,Durability,Tool,2018-07-18T00:00:00,1.13.0
compass,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
crossbow,Tools & Armor,465.0,Durability,Weapon,2019-04-23T00:00:00,1.14.0
diamond_axe,Tools & Armor,1561.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
diamond_boots,Tools & Armor,429.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
diamond_chestplate,Tools & Armor,528.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
diamond_helmet,Tools & Armor,363.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
diamond_hoe,Tools & Armor,1561.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
diamond_horse_armor,Tools & Armor,,Durability,Armor,2013-07-01T00:00:00,1.6.1
diamond_leggings,Tools & Armor,495.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
diamond_pickaxe,Tools & Armor,1561.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
diamond_shovel,Tools & Armor,1561.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
diamond_sword,Tools & Armor,1561.0,Durability,Weapon,2011-11-18T00:00:00,1.0.0
elytra,Tools & Armor,432.0,Durability,Armor,2016-02-29T00:00:00,1.9.0
firework_rocket,Tools & Armor,,Durability,Tool,2012-12-20T00:00:00,1.4.6
fishing_rod,Tools & Armor,64.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
flint_and_steel,Tools & Armor,64.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
goat_horn,Tools & Armor,,Durability,Tool,2022-06-07T00:00:00,1.19.0
golden_axe,Tools & Armor,32.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
golden_boots,Tools & Armor,91.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
golden_chestplate,Tools & Armor,112.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
golden_helmet,Tools & Armor,77.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
golden_hoe,Tools & Armor,32.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
golden_horse_armor,Tools & Armor,,Durability,Armor,2013-07-01T00:00:00,1.6.1
golden_leggings,Tools & Armor,105.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
golden_pickaxe,Tools & Armor,32.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
golden_shovel,Tools & Armor,32.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
golden_sword,Tools & Armor,32.0,Durability,Weapon,2011-11-18T00:00:00,1.0.0
iron_axe,Tools & Armor,250.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
iron_boots,Tools & Armor,195.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
iron_chestplate,Tools & Armor,240.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
iron_helmet,Tools & Armor,165.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
iron_hoe,Tools & Armor,250.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
iron_horse_armor,Tools & Armor,,Durability,Armor,2013-07-01T00:00:00,1.6.1
iron_leggings,Tools & Armor,225.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
iron_pickaxe,Tools & Armor,250.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
iron_shovel,Tools & Armor,250.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
iron_sword,Tools & Armor,250.0,Durability,Weapon,2011-11-18T00:00:00,1.0.0
lava_bucket,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
lead,Tools & Armor,,Durability,Tool,2013-07-01T00:00:00,1.6.1
leather_boots,Tools & Armor,65.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
leather_chestplate,Tools & Armor,80.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
leather_helmet,Tools & Armor,55.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
leather_horse_armor,Tools & Armor,,Durability,Armor,2019-04-23T00:00:00,1.14.0
leather_leggings,Tools & Armor,75.0,Durability,Armor,2011-11-18T00:00:00,1.0.0
map,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_11,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_13,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_5,Tools & Armor,,Durability,Tool,2022-06-07T00:00:00,1.19.0
music_disc_blocks,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_cat,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_chirp,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_far,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_mall,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_mellohi,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_otherside,Tools & Armor,,Durability,Tool,2021-11-30T00:00:00,1.18.0
music_disc_pigstep,Tools & Armor,,Durability,Tool,2020-06-23T00:00:00,1.16.0
music_disc_relic,Tools & Armor,,Durability,Tool,2023-06-07T00:00:00,1.20.0
music_disc_stal,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_strad,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
music_disc_wait,Tools & Armor,,Durability,Tool,2012-11-14T00:00:00,1.4.4
music_disc_ward,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
name_tag,Tools & Armor,,Durability,Tool,2013-07-01T00:00:00,1.6.1
netherite_axe,Tools & Armor,2031.0,Durability,Tool,2020-06-23T00:00:00,1.16.0
netherite_boots,Tools & Armor,481.0,Durability,Armor,2020-06-23T00:00:00,1.16.0
netherite_chestplate,Tools & Armor,592.0,Durability,Armor,2020-06-23T00:00:00,1.16.0
netherite_helmet,Tools & Armor,407.0,Durability,Armor,2020-06-23T00:00:00,1.16.0
netherite_hoe,Tools & Armor,2031.0,Durability,Tool,2020-06-23T00:00:00,1.16.0
netherite_leggings,Tools & Armor,555.0,Durability,Armor,2020-06-23T00:00:00,1.16.0
netherite_pickaxe,Tools & Armor,2031.0,Durability,Tool,2020-06-23T00:00:00,1.16.0
netherite_shovel,Tools & Armor,2031.0,Durability,Tool,2020-06-23T00:00:00,1.16.0
netherite_sword,Tools & Armor,2031.0,Durability,Weapon,2020-06-23T00:00:00,1.16.0
powder_snow_bucket,Tools & Armor,,Durability,Tool,2021-06-08T00:00:00,1.17.0
pufferfish_bucket,Tools & Armor,,Durability,Tool,2018-07-18T00:00:00,1.13.0
recovery_compass,Tools & Armor,,Durability,Tool,2022-06-07T00:00:00,1.19.0
saddle,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
salmon_bucket,Tools & Armor,,Durability,Tool,2018-07-18T00:00:00,1.13.0
shears,Tools & Armor,238.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
shield,Tools & Armor,336.0,Durability,Tool,2016-02-29T00:00:00,1.9.0
spectral_arrow,Tools & Armor,,Durability,Weapon,2016-02-29T00:00:00,1.9.0
spyglass,Tools & Armor,,Durability,Tool,2021-06-08T00:00:00,1.17.0
stone_axe,Tools & Armor,131.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
stone_hoe,Tools & Armor,131.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
stone_pickaxe,Tools & Armor,131.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
stone_shovel,Tools & Armor,131.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
stone_sword,Tools & Armor,131.0,Durability,Weapon,2011-11-18T00:00:00,1.0.0
tadpole_bucket,Tools & Armor,,Durability,Tool,2022-06-07T00:00:00,1.19.0
tipped_arrow,Tools & Armor,,Durability,Weapon,2016-02-29T00:00:00,1.9.0
totem_of_undying,Tools & Armor,,Durability,Tool,2016-11-14T00:00:00,1.11.0
trident,Tools & Armor,250.0,Durability,Weapon,2018-07-18T00:00:00,1.13.0
tropical_fish_bucket,Tools & Armor,,Durability,Tool,2018-07-18T00:00:00,1.13.0
turtle_helmet,Tools & Armor,275.0,Durability,Armor,2018-07-18T00:00:00,1.13.0
warped_fungus_on_a_stick,Tools & Armor,100.0,Durability,Tool,2020-06-23T00:00:00,1.16.0
water_bucket,Tools & Armor,,Durability,Tool,2011-11-18T00:00:00,1.0.0
wooden_axe,Tools & Armor,59.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
wooden_hoe,Tools & Armor,59.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
wooden_pickaxe,Tools & Armor,59.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
wooden_shovel,Tools & Armor,59.0,Durability,Tool,2011-11-18T00:00:00,1.0.0
wooden_sword,Tools & Armor,59.0,Durability,Weapon,2011-11-18T00:00:00,1.0.0
writable_book,Tools & Armor,,Durability,Tool,2012-08-01T00:00:00,1.3.1
written_book,Tools & Armor,,Durability,Tool,2012-08-01T00:00:00,1.3.1
nether_wart_block,Landscape Block,,,Nature,2016-06-08T00:00:00,1.10.0
netherrack,Landscape Block,,,Land,2011-11-18T00:00:00,1.0.0
oak_leaves,Landscape Block,,,Nature,2011-11-18T00:00:00,1.0.0
oak_log,Landscape Block,,,Nature,2011-11-18T00:00:00,1.0.0
obsidian,Landscape Block,,,Stone,2011-11-18T00:00:00,1.0.0
froglight,Landscape Block,,,Nature,2022-06-07T00:00:00,1.19.0
orange_terracotta,Landscape Block,,,Land,2013-07-01T00:00:00,1.6.1
packed_ice,Landscape Block,,,Land,2013-10-25T00:00:00,1.7.2
podzol,Landscape Block,,,Land,2013-10-25T00:00:00,1.7.2
pointed_dripstone,Landscape Block,,,Stone,2021-06-08T00:00:00,1.17.0
powder_snow,Landscape Block,,,Land,2021-06-08T00:00:00,1.17.0
prismarine,Landscape Block,,,Stone,2014-09-02T00:00:00,1.8.0
red_mushroom_block,Landscape Block,,,Nature,2011-11-18T00:00:00,1.0.0
red_sand,Landscape Block,,,Land,2013-10-25T00:00:00,1.7.2
red_terracotta,Landscape Block,,,Land,2013-07-01T00:00:00,1.6.1
redstone_ore,Landscape Block,,,Ore,2011-11-18T00:00:00,1.0.0
reinforced_deepslate,Landscape Block,,,Stone,2022-06-07T00:00:00,1.19.0
rooted_dirt,Landscape Block,,,Land,2021-06-08T00:00:00,1.17.0
sand,Landscape Block,,,Land,2011-11-18T00:00:00,1.0.0
sculk,Landscape Block,,,Land,2022-06-07T00:00:00,1.19.0
sculk_catalyst,Landscape Block,,,Generate,2022-06-07T00:00:00,1.19.0
sculk_sensor,Landscape Block,,,Generate,2022-06-07T00:00:00,1.19.0
sculk_shrieker,Landscape Block,,,Generate,2022-06-07T00:00:00,1.19.0
sculk_vein,Landscape Block,,,Land,2022-06-07T00:00:00,1.19.0
shroomlight,Landscape Block,,,Nature,2020-06-23T00:00:00,1.16.0
small_amethyst_bud,Landscape Block,,,Nature,2021-06-08T00:00:00,1.17.0
snow,Landscape Block,,,Land,2011-11-18T00:00:00,1.0.0
soul_fire,Landscape Block,,,Generate,2020-06-23T00:00:00,1.16.0
soul_sand,Landscape Block,,,Land,2011-11-18T00:00:00,1.0.0
soul_soil,Landscape Block,,,Land,2020-06-23T00:00:00,1.16.0
spawner,Landscape Block,,,Generate,2011-11-18T00:00:00,1.0.0
sponge,Landscape Block,,,Nature,2011-11-18T00:00:00,1.0.0
spruce_leaves,Landscape Block,,,Nature,2011-11-18T00:00:00,1.0.0
spruce_log,Landscape Block,,,Nature,2011-11-18T00:00:00,1.0.0
stone,Landscape Block,,,Stone,2011-11-18T00:00:00,1.0.0
suspicious_gravel,Landscape Block,,,Land,2023-06-07T00:00:00,1.20.0
suspicious_sand,Landscape Block,,,Land,2023-06-07T00:00:00,1.20.0
terracotta,Landscape Block,,,Land,2013-07-01T00:00:00,1.6.1
tube_coral_block,Landscape Block,,,Nature,2018-07-18T00:00:00,1.13.0
tuff,Landscape Block,,,Stone,2021-06-08T00:00:00,1.17.0
warped_nylium,Landscape Block,,,Nature,2020-06-23T00:00:00,1.16.0
warped_stem,Landscape Block,,,Nature,2020-06-23T00:00:00,1.16.0
